job_role,Requisition id,Location,job_description
,,,
"Consultant, Database Engineering",  R-85229,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Consultant, Database Engineering,Overview,Employee Experience is a major focus area for progressive and futuristic organizations. Employee Digital Experience team’s charter include driving strategy, thought leadership, technology delivery, measurement and governance of employee experience programs globally leveraging design thinking, user experience techniques, modern technology platforms and tools, advanced analytics and automation.,• Are you passionate in driving solutions that elevate digital experiences for Mastercard employees?,• Are you passionate about people, and excited to evolve with a career at Mastercard?,The ETL Developer will be responsible for designing and creating the data storage system the data warehouse and all related extraction, transformation and load of data as well as testing and troubleshooting function before it goes live.,Role,• Establishing proficient in how to deploy to and debug a production SQL Server Integration Services (SSIS) environment,• Strong ability to develops, tests, monitors, and troubleshoots ETL processes,• Mastering in reporting/analytics and data visualization tools like DOMO, and Business Objects, Tableau, including Design, Development and Administration functions,• Provide leadership and be able to prioritize workload and work with minimal supervision,• Establishing strong database schemas with ability to design and create appropriate DB tables,• Understand end to end technology aspects of a SaaS platform orchestration with special focus on the data flow associated with the platform use cases,• Establishing proficient in analytical and problem solving skills and a good grasp of the technical side of business intelligence and always keep up to date with the latest BI tools and technologies,• Strong ability to identify and test for bugs and bottlenecks in the ETL solution,• Ability to design Physical and Reporting Data models for seamless cross-functional and cross-systems data reporting,All about You,• A very strong interpersonal, leadership, project management and communication skills,• Expert in Alteryx or similar ETL tools,• knowledgeable with scripting language like Python, Shell, JavaScript, HTML5,• Strong project management, coordination and communication skills,• Strong understanding of online databases, SQL, web-service APIs, reporting tools such as Power-BI, PowerPivot, Tableau,• Ability to troubleshoot business issues and optimize end user experience,• Ability to exercise sound judgment in making critical decisions,• Computing/Engineering degree,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-85229"
,,,
Senior Engineer,  R-84893,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Senior Engineer,Overview,• Core Payments of MasterCard is involved in developing Authorization, Clearing, Debit and other major functionalities for MasterCard. Analyze and create cutting edge solutions for Core Payments teams. Proficient with COBOL, DB2, CICS, JCL,PROC.,• Hands on Experience with Software development,• Manage relationship with various stakeholders - Business Owners, Testing Teams etc.,• Coordinate with other groups including vendors to ensure success of the project.,• Has capability to design simple to medium-complex projects.,• Have you lead an end to end Agile (SAFe) development project?,• Card Issuing, Acquirirng or Network experience.,Role,• Agile Manager for development initiatives in Core Payment Systems,• Coordinate with various groups in MasterCard to ensure success of the projects,• Assign teams for ensuring quality deliverables and tracking,• Maintain and present project related metrics reporting for management review,• Lead initiatives for automation, defect metrics and overall quality initiatives,• Handle coordination between teams based in various locations,All About You,• Certification in SA ( SAFe Agilist) or SPMPO ( SAFe Product Manager/Owner) or Certified SCRUM product owner or Professional,• Experience in Batch and online development,• Experience in CI and CD,• Involved and spearhead quality initiatives,• Result oriented individual Automation experience and Code Quality,• Strong Communicator.,• Ability to guide people to implement the right solution,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-84893"
,,,
"Associate Engineer, Software Engineering",  R-84888,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Associate Engineer, Software Engineering,Overview,• Core Payments of MasterCard is involved in developing Authorization, Clearing, Debit and other major functionalities for MasterCard. Analyze and create cutting edge solutions for Core Payments teams. Proficient with COBOL, DB2, CICS, JCL,PROC.,• Hands on Experience with Software development,• Manage relationship with various stakeholders - Business Owners, Testing Teams etc.,• Coordinate with other groups including vendors to ensure success of the project.,• Has capability to design simple to medium-complex projects.,• Have you lead an end to end Agile (SAFe) development project?,• Card Issuing, Acquirirng or Network experience.,Role,• Agile Manager for development initiatives in Core Payment Systems,• Coordinate with various groups in MasterCard to ensure success of the projects,• Assign teams for ensuring quality deliverables and tracking,• Maintain and present project related metrics reporting for management review,• Lead initiatives for automation, defect metrics and overall quality initiatives,• Handle coordination between teams based in various locations,All About You,• Certification in SA ( SAFe Agilist) or SPMPO ( SAFe Product Manager/Owner) or Certified SCRUM product owner or Professional,• Experience in Batch and online development,• Experience in CI and CD,• Involved and spearhead quality initiatives,• Result oriented individual Automation experience and Code Quality,• Strong Communicator.,• Ability to guide people to implement the right solution,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-84888"
,,,
"Consultant, Software Engineering",  R-84894,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Consultant, Software Engineering,Overview,• Core Payments of MasterCard is involved in developing Authorization, Clearing, Debit and other major functionalities for MasterCard. Analyze and create cutting edge solutions for Core Payments teams. Proficient with COBOL, DB2, CICS, JCL,PROC.,Proficient with MicroFocus COBOL running on LINUX servers,• Should be able to use MicroFocus convertor to convert existing code to COBOL.,• Experience with code development and deployments of Microfocus Cobol to Linux servers and TWS scheduler.,• Hands on Experience with Software development,• Manage relationship with various stakeholders - Business Owners, Testing Teams etc.,• Coordinate with other groups including vendors to ensure success of the project.,• Has capability to design simple to medium-complex projects.,• Have you lead an end to end Agile (SAFe) development project?,• Card Issuing, Acquirirng or Network experience.,Role,• Agile Manager for development initiatives in Core Payment Systems,• Coordinate with various groups in MasterCard to ensure success of the projects,• Assign teams for ensuring quality deliverables and tracking,• Maintain and present project related metrics reporting for management review,• Lead initiatives for automation, defect metrics and overall quality initiatives,• Handle coordination between teams based in various locations,All About You,• Certification in SA ( SAFe Agilist) or SPMPO ( SAFe Product Manager/Owner) or Certified SCRUM product owner or Professional,• Experience in Batch and online development,• Experience in CI and CD,• Involved and spearhead quality initiatives,• Result oriented individual Automation experience and Code Quality,• Strong Communicator.,• Ability to guide people to,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-84894"
,,,
Software Engineer,  R-83837,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Software Engineer,Overview,Digital Technology Center, Pune is a part of the Emerging Payments vertical in MasterCard, and focuses on the design & development of solutions, products and prototypes based on contemporary technologies.  Some key areas include developments in NFC, HCE, Proximity & Remote Payment using devices with and without a Secure Element, and Device Applications.,In addition, the group is involved in Research & Development and Innovation with the aim to develop new products and intellectual property for the company.,We are looking for Solution Engineer with a passion for developing advanced solutions, with deep & comprehensive skills in Java and Android.,Role,•Design frameworks to automate testing of EMV products,•Analyze requirements/specifications and evaluate technical feasibility,•Translate requirements/specifications to a product design,•Design , plan and develop the product,•Design, plan and validate the product,•Verify the product comply with industry standards,•Manage schedules and delivery as planned,•Keep abreast with new and developing technologies and strive to apply them while developing the product solutions,•Comply with organizational processes, policies and IP protection.,•Participate in organization level process improvement and knowledge sharing,All About You,Essential knowledge, skills & attributes,•Hands on experience of working with core Java,  SQL & RDBMS (MySQL and PostGRES), Web-services (JSON and SOAP) & XML,•Hands on experience of developing & working with Android applications, Native Android, Android testing frameworks,•Hands on experience of using Eclipse/My Eclipse IDE, writing Junit test cases, working with Maven/Ant, GIT,•Expertise in OOPs principles, strong working knowledge of design patterns.,•Proficient in clean code practices and application performance, security and efficiency,•Personal attributes of strong logical and analytical Skills, ability to articulate  clearly and precisely in spoken and written English,•Follow immaculate coding and documentation practices,Additional/Desirable capabilities,•Experience of working in Mobile or Payments application Domain,•Hands on experience with tools including:  JBehave, Jenkins, Confluence, JIRA,•Knowledge of cryptography protocols, security and PKI,•Knowledge of cloud computing architecture,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-83837"
,,,
Product Management Analyst [ Developing Product Road Map with strong technical aptitude],  R-85158,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Product Management Analyst [ Developing Product Road Map with strong technical aptitude],The Data & Services team is a key differentiator for Mastercard, providing the cutting-edge services that help our customers grow. Focused on thinking big and scaling fast around the globe, this agile team is responsible for end-to-end solutions for a diverse global customer base. Centered on data-driven technologies and innovation, these services include payments-focused consulting, loyalty and marketing programs, business Test & Learn experimentation, and data-driven information and risk management services.,Title,Analyst, Product Management - Technical, Product Development – Data & Services,Product Managers - Technical (PM-Ts) work as part of our product teams, playing a meaningful role in developing and executing Mastercard Data & Services product vision. On the software side: PM-Ts drive products and features from conception to release, working closely with UX designers, software engineers, and quality assurance engineers to build analytically sophisticated and intuitive products. On the business side: PM-Ts assist in client delivery, partnering with consultants, sales & marketing, and our clients to maximize impact on some of the world's largest companies in retail, banking, restaurants, insurance, and other industries.,Our Technology Teams are small and flexible teams. Every team member contributes to designing, building, and testing features. We take an agile approach to software development and practice continuous integration and delivery. The range of work that a team will encounter varies from front-end web development to writing server side calculation code to database work. We prefer no rigid organizational structures; each team uses processes that work the best for its members and projects. This position is based out of our new Pune, India office, but will be working closely with our US teams based in Arlington, VA and New York City, NY.,Join a fast growing team,As a PM-T, you will manage the development of one or several analytic products serving a wide breadth of industries. Our diverse suite of products enables PM-Ts to work on a variety of exciting projects, including:,• User research - You will lead the discovery phase of new features. What business problems are users trying to tackle? How are they doing that today, both in our software and externally? What are their biggest pain points with that process, and how can we design a product which best helps them?,• Prioritization - You will partner with roles across the organization including consultants, engineering, and sales to determine the highest priority problems to solve.,• Solution Scoping - You will evaluate trade-offs between many possible solutions to a problem, taking into account usability, technical feasibility, client timelines, and differing stakeholder opinions to make a decision.,• Release Management – We believe in an agile approach to software development, so PM-Ts break large features into smaller, releasable milestones to collect feedback from users as early as possible. You will be responsible for evangelizing releases to users, incorporating feedback, and tracking usage to inform future development.,PM-Ts also dive deeper into:,• Analytic Investigations - We are an analytics company. PM-Ts partner with engineers and consultants to develop innovate analytic solutions to complex business problems.,• Design Projects - At Mastercard Data & Services, design isn't left just to UX designers. Together with designers, PM-Ts create mockups for features, overhaul existing designs, and institute innovative UX paradigms.,• Product Marketing - PM-Ts collaborate with sales & marketing to craft the best way to communicate the value of our products to potential clients.,How will I do that?,• You will work with the team to define a vision, establish team culture and processes, and create functional requirements and designs.,• Given our emphasis on agile development, you will share ideas early, collaborate with teammates, and rapidly incorporate new feedback and ideas.,• You will quickly develop skills in universally-used software such as SQL and R, and gain experience in industry-standard software like InVision, Splunk, and the Atlassian suite.,• You will stay engaged throughout the feature life cycle, bridging gaps between designers, engineers, consultants, and users.,What does this mean for me?,PM-Ts grow rapidly in their careers, receiving mentorship from senior leaders and taking advantage of the diverse opportunities we offer:,• Grow as a product leader by owning team direction and evangelizing the product vision throughout the organization,• From day one, learn to make tough decisions that have a significant impact on our products and users,• Work closely with several roles including UX designers, software engineers, quality assurance engineers, and consultants,• Craft an ideal work environment by helping shape team processes and culture,• Gain experience in a variety of skills from data analysis to design and focus on areas which interest you most,• Gain a deep understanding of intricate business processes across clients and industries,Ideal Candidate Qualifications,• Prior experience in a product management role is a plus,• Curiosity, creativity, and excitement for technology and innovation,• Demonstrated quantitative and problem solving abilities,• Ability to multi-task and strong attention to detail,• Motivation, flexibility, self-direction, and desire to thrive on small project teams,• Outstanding communication and organizational skills,• Superior academic record at a leading national university,• Coding experience, while an asset, is in no way required for our day to day work,• Strong English written and verbal communication skills,Who is Mastercard?,• We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of Priceless®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Mastercard is an equal opportunity employer that values diversity and inclusion. Applicants will be considered and treated without regard to gender, gender identity, race, color, ethnicity, national origin, religion, sexual orientation, veteran or disabled status, or any other characteristic protected by applicable law.,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-85158"
,,,
