url,Company_Name,Job_Title,Skills,location,Positions_Remaining,LastUpdated
32677BR,FGBS- Ford Global Business Services,New Model Coding & Specification Analyst,Marketing Sales & Services,"India, Chennai",1,16-Jan-2019
32578BR,FGBS- Ford Global Business Services,Forecast Analyst,Marketing Sales & Services,"India, Chennai",1,10-Jan-2019
32633BR,FGBS- Ford Global Business Services,City head operations - Pune,Strategy,"India, Chennai",1,10-Jan-2019
32563BR,FGBS- Ford Global Business Services,Software engineer - Documentum Technologies,IT,"India, Chennai",1,04-Jan-2019
32560BR,FGBS- Ford Global Business Services,Analyst Modeler,GDIA,"India, Chennai",1,03-Jan-2019
32618BR,FGBS- Ford Global Business Services,Data Insight & Visualisation Analyst,GDIA,"India, Chennai",1,03-Jan-2019
32619BR,FGBS- Ford Global Business Services,Data Insight & Visualisation Analyst,GDIA,"India, Chennai",1,03-Jan-2019
32620BR,FGBS- Ford Global Business Services,Data Insight & Visualisation Analyst,GDIA,"India, Chennai",1,03-Jan-2019
32588BR,FGBS- Ford Global Business Services,Technique Coach,IT,"India, Chennai",1,31-Dec-2018
32531BR,FGBS- Ford Global Business Services,Data Scientist - CAE specialist,GDIA,"India, Chennai",1,24-Dec-2018
32527BR,FGBS- Ford Global Business Services,Data Scientist - CV specialist,GDIA,"India, Chennai",1,24-Dec-2018
32561BR,FGBS- Ford Global Business Services,Data scientist - Machine Learning,GDIA,"India, Chennai",1,24-Dec-2018
30887BR,FGBS- Ford Global Business Services,Accounting Associate,Credit,"India, Chennai",1,14-Dec-2018
32391BR,FGBS- Ford Global Business Services,Analytics Manager,GDIA,"India, Chennai",1,04-Dec-2018
32393BR,FGBS- Ford Global Business Services,Analyst -  Revenue Management Analytics,GDIA,"India, Chennai",1,04-Dec-2018
32232BR,FGBS- Ford Global Business Services,Security and Controls Champion,IT,"India, Chennai",1,30-Nov-2018
32191BR,FGBS- Ford Global Business Services,Analytics Modeler – Statistics / Econometrics,GDIA,"India, Chennai",1,22-Nov-2018
32109BR,FGBS- Ford Global Business Services,Analyst,GDIA,"India, Chennai",1,21-Nov-2018
32236BR,FGBS- Ford Global Business Services,Network Analyst,IT,"India, Chennai",1,16-Nov-2018
32240BR,FGBS- Ford Global Business Services,Business Analyst,IT,"India, Chennai",1,16-Nov-2018
31502BR,FGBS- Ford Global Business Services,Software Developer - Java JEE,IT,"India, Chennai",1,15-Nov-2018
32209BR,FGBS- Ford Global Business Services,Security and Controls Practitioner,IT,"India, Chennai",1,14-Nov-2018
31898BR,FGBS- Ford Global Business Services,IT Operations Engineer,IT,"India, Chennai",1,11-Nov-2018
